Nbr-Val,Nbr-Pers,,code,Char,KP102ValSq,KP102ValSans,,Alpha EN,Order EN,Pers EN,Titre EN,Définitions EN,Questions EN,,Alpha Fr,Order Fr,Pers Fr,Titre Fr,Définitions Fr,Questions Fr,,Alpha Nw,Order Nw,Pers Nw,Titre Nw,Définitions Nw,Questions Nw
0-00,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0
1-01,1,,33,!,!,!,,3,GB001,Grounding,Affection,Using verbal and physical means of expression to communicate fondness or regard.,"What does Affection mean for you? Why is affection important in your life? Are there people in your life that you have experienced special affection toward? Who are they and in what ways are those affectionate relationships important to you? Do you think of yourself as an affectionate person? If so, how does this affect the kind of person you are in the world? What opportunities do you have to express fondness and attention toward others? How would you like others to be affected by your offerings of affection?
What kinds of affection do you prefer to show, and to receive? Do you prefer to give affection, or to receive shows of affection, or both? Does it matter to you whether affection is reciprocated in kind, whether verbal or physical? If so, why? If not, why not? Are you ever uncomfortable showing or receiving affection? Why? Are you aware of cultural norms or restrictions with regard to expressions of affection, or of others' comfort or discomfort with shows of affection? If so, and those boundaries matter to you, what ways do you find to express affectionate regard within those boundaries? If not, how can you become more aware of the preferences of others with regard to giving and receiving affection? Are there creative ways to show affection differently?
Affection is a foundational value, usually indicating a characteristic set of expectations and behaviors formed in childhood. If so, a significant life task may be for you to discover a wide array of ways to show affection to others, beyond your accustomed expectations and assumptions, and to recognize when others are showing it to you. If you feel you want more affection, find appropriate ways to show more. Be open to the different ways others show regard or fondness toward you, and acknowledge them in kind.",,2,Fr001,Fondamentaux,Affection,"Communiquer sa tendresse et son attachement, verbalement ou physiquement.","Que signifie Affection pour vous ? Pourquoi est-elle importante dans votre vie ? Y a-t-il des gens autour de vous pour qui vous avez spécialement de l’affection ? Qui sont-ils et pourquoi ces relations affectueuses sont-elles importantes pour vous ? Pensez-vous être une personne affectueuse ? Comment voudriez-vous que les autres réagissent à vos manifestations d’affection ? Préférez-vous donner de l’affection, recevoir des démonstrations d’affection, ou les deux ? Est-ce important pour vous si l’affection est réciproque, verbalement ou physiquement ? Si oui, pourquoi ? Sinon, pourquoi pas ? Êtes-vous parfois mal à l’aise en démontrant ou en recevant de l’affection ? Pourquoi ?
Êtes-vous conscient de normes culturelles concernant l’expression de l’affection, percevez-vous l’aisance ou l’inconfort des autres vis-à-vis des démonstrations d’affection ? S’il existe des restrictions, sont-elles importantes pour vous, et de quelle manière parvenez-vous à exprimer une attention affectueuse malgré ces restrictions ? Sinon, comment pourriez-vous mieux connaître les préférences des autres en ce qui concerne donner et recevoir de l’affection ?
Affection est une valeur fondatrice, indiquant généralement un ensemble d’attentes et de comportements élaborés pendant l’enfance. Si c’est le cas, une tâche de vie qui aurait du sens pour vous serait de découvrir une large gamme de manières de montrer votre affection aux autres et de reconnaître quand les autres vous en montrent. Si vous sentez que vous avez besoin de plus d’affection, trouvez des moyens d’en exprimer plus souvent. Soyez ouvert aux différentes façons dont les autres vous montrent leur attachement ou leur tendresse et montrez-leur concrètement que vous l’avez compris.",,41,Nw002,Grounding,Kjærlighet,Uttrykker og viser fysisk evne til å være glad i og vise godhet overfor andre.,"What does Affection mean for you? Why is affection important in your life? Are there people in your life that you have experienced special affection toward? Who are they and in what ways are those affectionate relationships important to you? Do you think of yourself as an affectionate person? If so, how does this affect the kind of person you are in the world? What opportunities do you have to express fondness and attention toward others? How would you like others to be affected by your offerings of affection?
What kinds of affection do you prefer to show, and to receive? Do you prefer to give affection, or to receive shows of affection, or both? Does it matter to you whether affection is reciprocated in kind, whether verbal or physical? If so, why? If not, why not? Are you ever uncomfortable showing or receiving affection? Why? Are you aware of cultural norms or restrictions with regard to expressions of affection, or of others' comfort or discomfort with shows of affection? If so, and those boundaries matter to you, what ways do you find to express affectionate regard within those boundaries? If not, how can you become more aware of the preferences of others with regard to giving and receiving affection? Are there creative ways to show affection differently?
Affection is a foundational value, usually indicating a characteristic set of expectations and behaviors formed in childhood. If so, a significant life task may be for you to discover a wide array of ways to show affection to others, beyond your accustomed expectations and assumptions, and to recognize when others are showing it to you. If you feel you want more affection, find appropriate ways to show more. Be open to the different ways others show regard or fondness toward you, and acknowledge them in kind."
1-02,1,,34,"""","""","""",,22,GB002,Grounding,Curiosity,"Approaching experience with a sense of wonder, exploration, and learning.","What are you curious about? Is your curiosity of an introverted kind, such that you look and ponder inwardly, or of an extraverted kind, such that your curiosity is directed and expressed outwardly? In either case, or both, how do you satisfy your curiosity? For example, exploring or investigating something, reading, asking questions, creative engagement like making art or writing, or just being with the source of your curiosity? Is your curiosity analytical, sense-related, relationally-oriented?
Because of its childlike quality, Curiosity is considered to be a foundational value, and often those who select this as a high-priority value also tend to value some of its childlike aspects, and/or have been curious since childhood. Have you always been curious? If so, has the nature of your curiosity changed or expanded or become more focused? How? Do others notice your curiosity? If so, in what ways is this significant? Where has your curiosity led you that other values might not? How does Curiosity interact with and influence your other highest-priority values? Is it important to you that others display curiosity? If so, why, and how do you regard people who seem incurious? Why does Curiosity matter?
Like the proverbial curious cat, has your curiosity ever gotten you into trouble? If so, how, and what were the consequences? Do you always find ways to satisfy your curiosity when it is stimulated? What have you learned by indulging your curiosity, or not? If your curiosity is directed toward others, are you good at asking questions that are both respectful and safe for the other person? If so, you may want to consider teaching your valuable questioning skills to others. If not, you may want to cultivate an awareness of the effects of your curiosity on others.
Do you get enough time to indulge and satisfy your curiosity? If not, how can you go about deriving more value from approaching experience with a sense of wonder, exploration, and learning?",,21,Fr002,Fondamentaux,Curiosité,Approcher des personnes ou des choses intéressantes avec le désir d’en apprendre plus.,"De quoi êtes-vous curieux ? Votre curiosité est-elle du genre introverti, qui vous fait regarder et questionner intérieurement, ou du type extraverti, c’est-à-dire dirigée et exprimée vers l’extérieur ? Un peu des deux ? Comment satisfaites-vous votre curiosité ? Votre curiosité est-elle analytique, sensorielle ou relationnelle ?
Avez-vous toujours été curieux ? La nature de votre curiosité a-t-elle changé, s’est-elle élargie, est-elle plus concentrée ? Les autres remarquent-ils votre curiosité ? Votre curiosité vous a-t-elle conduit à des endroits où vos autres valeurs ne pourraient pas vous mener ? Comment la Curiosité interagit-elle et influence-t-elle vos autres valeurs prioritaires ? Pourquoi la Curiosité est-elle importante ?
Votre curiosité vous a-t-elle déjà causé des ennuis ? Si oui, comment, et avec quelles conséquences ? Trouvez-vous toujours des moyens de satisfaire votre curiosité quand elle est stimulée ? Qu’avez-vous appris en vous laissant aller à votre curiosité, ou non ? Si votre curiosité est dirigée vers les autres, êtes-vous doué pour poser des questions qui soient à la fois respectueuses et sans risque pour l’autre personne ? Si oui, vous pourriez envisager d’enseigner votre précieuse compétence au questionnement à d’autres personnes. Dans le cas contraire, vous pourriez améliorer votre conscience des effets de votre curiosité sur les autres.
Avez-vous assez de temps pour encourager et satisfaire votre curiosité ? Sinon, comment pouvez-vous vous y prendre pour approcher les expériences avec un sens accru de l’émerveillement, de l’exploration et de l’apprentissage et en tirer plus de valeur ?",,56,Nw005,Grounding,Nysgjerrighet,Oppsøker interessante mennesker og ting med et ønske om lære mer om dem,"What are you curious about? Is your curiosity of an introverted kind, such that you look and ponder inwardly, or of an extraverted kind, such that your curiosity is directed and expressed outwardly? In either case, or both, how do you satisfy your curiosity? For example, exploring or investigating something, reading, asking questions, creative engagement like making art or writing, or just being with the source of your curiosity? Is your curiosity analytical, sense-related, relationally-oriented?
Because of its childlike quality, Curiosity is considered to be a foundational value, and often those who select this as a high-priority value also tend to value some of its childlike aspects, and/or have been curious since childhood. Have you always been curious? If so, has the nature of your curiosity changed or expanded or become more focused? How? Do others notice your curiosity? If so, in what ways is this significant? Where has your curiosity led you that other values might not? How does Curiosity interact with and influence your other highest-priority values? Is it important to you that others display curiosity? If so, why, and how do you regard people who seem incurious? Why does Curiosity matter?
Like the proverbial curious cat, has your curiosity ever gotten you into trouble? If so, how, and what were the consequences? Do you always find ways to satisfy your curiosity when it is stimulated? What have you learned by indulging your curiosity, or not? If your curiosity is directed toward others, are you good at asking questions that are both respectful and safe for the other person? If so, you may want to consider teaching your valuable questioning skills to others. If not, you may want to cultivate an awareness of the effects of your curiosity on others.
Do you get enough time to indulge and satisfy your curiosity? If not, how can you go about deriving more value from approaching experience with a sense of wonder, exploration, and learning?"
1-03,1,,35,#,#,#,,39,GB003,Grounding,Food and Shelter,Having access to necessary basics to be fed and kept from the elements.,"What does the value of Food and Shelter mean to you? Why is it important? Having the necessary basics for being fed and sheltered is a survival value. It is also fundamental to each person's ability to develop and grow. When this value is being satisfied, other values can come into one's daily sphere in a more effective way. When it is not, the necessity to provide for the basics of life will demand a very great expenditure of life energy: physical, emotional and cognitive.
Does this value in any way reflect a current set of physical conditions for you? What are those conditions? Is anyone else involved, for example, loved ones? How might you need those conditions to change, and why? Do you have a plan for changing them? If so, how? Are you making the right choices with regard to the assets or talents you have at your disposal? Are you aware of sources of assistance that you can draw upon? Is there anything to prevent you from seeking assistance from these sources? If so, where else can you look to obtain assistance, counseling, or other forms of support?
Is Food and Shelter a value you hold in behalf of others? If so, for whom and why? What do you, or can you, do to address the basic needs of others? What do you want others to understand about the value of Food and Shelter?",,64,Fr008,Fondamentaux,Nourriture et logement,Avoir accès au nécessaire pour se nourrir et se protéger des éléments.,"Que signifie pour vous la valeur Nourriture et logement ? Pourquoi est-elle importante ? Avoir le minimum nécessaire pour être nourri et abrité est une valeur de survie. Elle est également fondamentale pour que chaque personne puisse se développer et grandir. Quand cette valeur est satisfaite, d’autres valeurs peuvent entrer dans notre sphère quotidienne plus efficacement. Quand ce n’est pas le cas, la nécessité d’obtenir les basiques de la vie vont demander une plus grande dépense d’énergie vitale, physiquement, émotionnellement et cognitivement.
Cette valeur reflète-t-elle d’une quelconque manière vos conditions physiques actuelles ? Quelles sont ces conditions ? D’autres personnes sont-elles impliquées, par exemple des êtres chers ? Avez-vous besoin que ces conditions changent, et pourquoi ? Avez-vous un plan pour les changer ? Si oui, comment ? Faites-vous les bons choix par rapport aux actifs ou aux talents que vous avez à votre disposition ? Êtes-vous au courant de sources d’assistance auxquelles vous pourriez faire appel ? Y a-t-il quelque chose qui vous empêcherait de rechercher de l’aide auprès de ces sources ? Si oui, pourriez-vous chercher ailleurs de l’assistance, des conseils ou d’autres formes de soutien ?
Nourriture et logement est-elle une valeur que vous portez au nom d’autres personnes ? Si oui, pour qui, et pourquoi ? Que faites-vous, que pouvez-vous faire pour vous occuper des besoins basiques des autres ? Que voudriez-vous que les autres comprennent au sujet de la valeur Nourriture et logement ?",,53,Nw004,Grounding,Mat og husly,"Ha tilgang til grunnleggende behov, som mat og beskyttelse fra elementene.","What does the value of Food and Shelter mean to you? Why is it important? Having the necessary basics for being fed and sheltered is a survival value. It is also fundamental to each person's ability to develop and grow. When this value is being satisfied, other values can come into one's daily sphere in a more effective way. When it is not, the necessity to provide for the basics of life will demand a very great expenditure of life energy: physical, emotional and cognitive.
Does this value in any way reflect a current set of physical conditions for you? What are those conditions? Is anyone else involved, for example, loved ones? How might you need those conditions to change, and why? Do you have a plan for changing them? If so, how? Are you making the right choices with regard to the assets or talents you have at your disposal? Are you aware of sources of assistance that you can draw upon? Is there anything to prevent you from seeking assistance from these sources? If so, where else can you look to obtain assistance, counseling, or other forms of support?
Is Food and Shelter a value you hold in behalf of others? If so, for whom and why? What do you, or can you, do to address the basic needs of others? What do you want others to understand about the value of Food and Shelter?"
1-04,1,,36,$,$,$,,52,GB004,Grounding,Kindness,"Acting in a considerate, tender, or generous manner.","Why is kindness important in your life? In what ways do you show kindness? When and how did being kind first become important in your life? How do you show tenderness and consideration to people close to you? How do their responses to your kindness make you feel?
What are your favorite ways of showing kindness to people you do not know? Kindness is often \""its own reward.\"" Are there times when people do not respond as you would expect? If so, what can you do to maintain your attitude of kindness, generosity, and considerateness?
This is a foundation value and if you have selected it as highly important, this may indicate a special need to attend to this area. Would you like to experience even more kindness in your life? Find ways, small or large, to set an example of kindness every day.",,47,Fr006,Fondamentaux,Gentillesse,"Agir d’une manière prévenante, tendre ou généreuse.","Pourquoi la Gentillesse est-elle importante dans votre vie ? Quand et comment la Gentillesse est-elle devenue importante dans votre vie ? À quelles occasions montrez-vous votre gentillesse ? Comment exprimez-vous votre tendresse et votre considération à vos proches ? Comment leur réaction à votre gentillesse vous touche-t-elle ?
Quelles sont vos manières préférées de montrer de la gentillesse à des gens que vous ne connaissez pas ? La Gentillesse est souvent sa propre récompense. Y a-t-il des situations où les gens ne réagissent pas comme vous le souhaitez ? Si oui, que pouvez-vous faire pour conserver une attitude de gentillesse, de générosité et de considération ?
Gentillesse est une valeur fondamentale, et le fait de l’avoir sélectionnée comme étant hautement prioritaire est peut-être le signe d’un besoin particulier à satisfaire dans ce domaine. Aimeriez-vous faire l’expérience de plus de gentillesse dans votre vie ? Trouvez des moyens, petits ou grands, de montrer un exemple de Gentillesse chaque jour.",,102,Nw011,Grounding,Vennlighet,"Opptrer på en hensynsfull, kjærlig eller raus måte.","Why is kindness important in your life? In what ways do you show kindness? When and how did being kind first become important in your life? How do you show tenderness and consideration to people close to you? How do their responses to your kindness make you feel?
What are your favorite ways of showing kindness to people you do not know? Kindness is often \""its own reward.\"" Are there times when people do not respond as you would expect? If so, what can you do to maintain your attitude of kindness, generosity, and considerateness?
This is a foundation value and if you have selected it as highly important, this may indicate a special need to attend to this area. Would you like to experience even more kindness in your life? Find ways, small or large, to set an example of kindness every day."
1-05,1,,37,%,%,%,,57,GB005,Grounding,Maintenance,Ensuring that objects and property are kept in good condition.,"When in your life did this first become important to you and how? Are there people in your life who first taught you the value of things and property? Who are those people, when and how did they teach you this importance of maintenance?
Perhaps there have been specific events that may have required and subsequently taught you the importance of maintenance. What is the story behind those events?
What kind or kinds of objects and property are you responsible for? What do you do to manage and maintain it? Why is it important to maintain and manage property properly? What is the difference between routine maintenance and high priority maintenance in your life?
What have you learned in life from maintaining and managing things and property? What benefits have you and others around you received from it? Do you know who will succeed you in adequately managing and maintaining the responsibilities you are concerned with? What will you do to ensure that the importance of this value is understood by others so that the things or property you ultimately hand over to them will be well-maintained?
This is usually a foundation value, which may mean that you have a special need to attend to it, or give it a higher priority. Is your property adequately maintained and managed? If it is not, what do you need to do to ensure that it is? How will you re-arrange your priorities to attend to this need? Do you have sufficient resources or help to manage your responsibilities adequately? If not, what can you do to get the resources or help you need?",,38,Fr004,Fondamentaux,Entretien,S’assurer que les objets et les biens sont bien entretenus et gardés en bon état.,"À quel moment dans votre vie la valeur Entretien est-elle devenue importante pour vous, et comment ? Y a-t-il des personnes dans votre vie qui vous ont enseigné la valeur des choses et de la propriété ? Qui sont-elles, quand, et comment vous ont-elles appris l’importance de l'Entretien ?
Peut-être y a-t-il eu des événements particuliers où l’importance de l'Entretien était requise, ce qui vous a permis de l’apprendre. Si oui, quelle est l’histoire derrière ces événements ?
De quelles sortes d’objets et de biens êtes-vous responsable ? Que faites-vous pour les gérer et les entretenir ? Pourquoi est-il important d’entretenir et de gérer convenablement les biens ? Quelle est la différence entre l’entretien routinier et la maintenance hautement prioritaire ?
Qu’avez-vous appris dans votre vie au sujet de la maintenance et de la gestion des biens et de la propriété privée ? Quels bénéfices vous-mêmes et les autres en avez-vous retirés ? Savez-vous qui vous succédera pour entretenir et gérer convenablement les responsabilités qui vous importent ? Qu’allez-vous faire pour vous assurer que l’importance de cette valeur est comprise des autres, de sorte que les choses ou la propriété que vous remettrez entre leurs mains soient bien entretenues ?
Vos biens sont-ils correctement entretenus et gérés ? Si ce n’est pas le cas, que pouvez-vous faire pour vous assurer qu’ils le soient ? Comment allez-vous réorganiser vos priorités pour vous occuper de ce besoin ? Avez-vous suffisamment de ressources ou d’aide pour remplir convenablement vos responsabilités ? Sinon, que pouvez-vous faire pour accéder à ces ressources ou à l’aide nécessaire ?",,99,Nw010,Grounding,Vedlikehold,Sikrer at gjenstander og eiendeler blir holdt i god stand,"When in your life did this first become important to you and how? Are there people in your life who first taught you the value of things and property? Who are those people, when and how did they teach you this importance of maintenance?
Perhaps there have been specific events that may have required and subsequently taught you the importance of maintenance. What is the story behind those events?
What kind or kinds of objects and property are you responsible for? What do you do to manage and maintain it? Why is it important to maintain and manage property properly? What is the difference between routine maintenance and high priority maintenance in your life?
What have you learned in life from maintaining and managing things and property? What benefits have you and others around you received from it? Do you know who will succeed you in adequately managing and maintaining the responsibilities you are concerned with? What will you do to ensure that the importance of this value is understood by others so that the things or property you ultimately hand over to them will be well-maintained?
This is usually a foundation value, which may mean that you have a special need to attend to it, or give it a higher priority. Is your property adequately maintained and managed? If it is not, what do you need to do to ensure that it is? How will you re-arrange your priorities to attend to this need? Do you have sufficient resources or help to manage your responsibilities adequately? If not, what can you do to get the resources or help you need?"
1-06,1,,38,&,&,&,,61,GB006,Grounding,Obedience,Compliance with authority.,"Are there people in your life to whom you must show obedience? Why is this important? Are there institutions to whose authority you must show unquestioning compliance? Why is it important to obey them? Is your obedience demanded by rules or laws, or do you give it without a formal requirement? In what ways do you show obedience?
Do you require others to be obedient to you? Do you urge or require other people to show obedience to institutions you regard as holding authority? In what ways? What benefits do you receive from those people or institutions to whom you show obedience? What benefits do others receive from showing obedience to you?
Have you ever questioned the authority of those whom you must obey? If so, when and how? Has anyone ever questioned your authority? If so, when and how?
This is a foundation value and if you have selected it as highly important, this may indicate a special need to attend to this area.",,65,Fr009,Fondamentaux,Obéissance,Se conformer à l’autorité.,"Y a-t-il des gens dans votre vie à qui vous devez montrer de l’obéissance ? Pourquoi est-ce important ? Y a-t-il des institutions dont l’autorité exige que vous leur montriez une obéissance sans faille ? Pourquoi est-il important que vous leur obéissiez ? De quelles manières montrez-vous votre obéissance ? Votre obéissance est-elle requise par des règles ou des lois, ou bien la donnez-vous sans qu’il y ait de demande formelle ?
Demandez-vous à d’autres qu’ils vous obéissent ? Incitez-vous ou exigez-vous d’autres personnes qu’elles montrent leur obéissance envers des institutions que vous considérez comme détentrices d’autorité ? De quelle manière ? Quels bénéfices recevez-vous de ces gens ou de ces institutions à qui vous montrez de l’obéissance ? Quels bénéfices les autres reçoivent-ils quand ils vous font preuve d’obéissance ?
Vous est-il arrivé de questionner l’autorité de celles et ceux à qui vous devez obéir ? Si oui, quand, et comment ? Quelqu’un a-t-il déjà questionné votre autorité ? Si oui, quand, et comment ?
Obéissance est une valeur fondatrice, et le fait vous l’ayez sélectionnée comme étant d’une grande importance indique peut-être un besoin particulier à satisfaire dans ce domaine. Souhaitez-vous faire quelque chose à ce sujet ?",,50,Nw003,Grounding,Lydighet,Retter seg etter myndigheter og autoriteter.,"Are there people in your life to whom you must show obedience? Why is this important? Are there institutions to whose authority you must show unquestioning compliance? Why is it important to obey them? Is your obedience demanded by rules or laws, or do you give it without a formal requirement? In what ways do you show obedience?
Do you require others to be obedient to you? Do you urge or require other people to show obedience to institutions you regard as holding authority? In what ways? What benefits do you receive from those people or institutions to whom you show obedience? What benefits do others receive from showing obedience to you?
Have you ever questioned the authority of those whom you must obey? If so, when and how? Has anyone ever questioned your authority? If so, when and how?
This is a foundation value and if you have selected it as highly important, this may indicate a special need to attend to this area."
1-07,1,,39,',',',,68,GB007,Grounding,Physical Functioning,Having a healthy and capable body.,"What does physical functioning mean in your life? Are you fit in terms of basic physical health? Do you have a routine to take care of yourself physically? Is your diet healthy?
Do you overindulge or abuse your body in any way? If so, in what ways can you improve your physical functioning?
This is a foundation value and if you have selected it as highly important, that selection may indicate a special need to attend to this area. If you are ill, or physically challenged by temporary or permanent circumstances, what can you do to function physically at your best capability? Do you have family or other adequate support structures in your life? If you need help in any way, do you know where to get it?",,46,Fr005,Fondamentaux,Forme physique,Avoir un corps en bonne santé et capable d’agir.,"Que signifie Forme physique dans votre vie ? Êtes-vous en forme physiquement ? Avez-vous une routine journalière pour prendre soin de vous-même physiquement ? Votre régime alimentaire est-il sain ?
Abusez-vous de votre corps ou êtes-vous trop indulgent envers lui d’une quelconque manière ? Si oui, comment pouvez-vous améliorer votre fonctionnement physique ?
Forme physique est une valeur fondamentale, et le fait de l’avoir sélectionnée comme étant d’une grande importance est peut-être le signe d’un besoin particulier à satisfaire dans ce domaine. Si vous êtes malade ou si vous rencontrez des difficultés physiques à cause de circonstances temporaires ou permanentes, que pouvez-vous faire pour fonctionner physiquement au mieux de vos capacités ? Recevez-vous un soutien adéquat de votre famille ou d’autres structures d’aide ? Si vous avez besoin d’une aide quelconque, savez-vous comment l’obtenir ?",,29,Nw001,Grounding,Fysisk funksjonsdyktighet,Har en sunn og velfungerende kropp.,"What does physical functioning mean in your life? Are you fit in terms of basic physical health? Do you have a routine to take care of yourself physically? Is your diet healthy?
Do you overindulge or abuse your body in any way? If so, in what ways can you improve your physical functioning?
This is a foundation value and if you have selected it as highly important, that selection may indicate a special need to attend to this area. If you are ill, or physically challenged by temporary or permanent circumstances, what can you do to function physically at your best capability? Do you have family or other adequate support structures in your life? If you need help in any way, do you know where to get it?"
1-08,1,,40,(,(,(,,85,GB008,Grounding,Safety,"Putting in place safeguards to avoid, risk, mishap, or injury.","What does safety mean to you? For example, safety concerns may be physical, psychological and social, or a combination of these. Who has created safeguards for you in your life and how? When and where have you felt most safe?
For whose safety are you concerned? You own? If so, what do you need to do to create safeguards for yourself? For the safety of others around you? If so, who, and what do you need to do to determine their needs for safety and create adequate safeguards for them? Is there a need to educate others about safety? If so, are there skills you need to develop in order to do so (for example, communication, assessment of needs, training)?
This is a foundation value, which means that it must be operating so that other values may flourish. If you have selected it as highly important, that selection may indicate a special need to attend to this area. What are your safety concerns? Are there safety standards and safeguards that you should be paying attention to for your own welfare and the welfare of others?",,91,Fr010,Fondamentaux,Sécurité,"Mettre en place des dispositifs de protection pour éviter les risques, les incidents ou les blessures.","Que veut dire Sécurité pour vous ? Par exemple, les soucis concernant la sécurité peuvent être physiques, psychologiques ou sociaux, ou une combinaison des trois. Qui a mis en place des dispositifs de sécurité pour vous dans votre vie, et comment ? Quand et où vous êtes-vous senti le plus en sécurité ?
Par la sécurité de quelles personnes vous sentez-vous concerné ? La vôtre ? Si oui, qu’avez-vous besoin de faire pour mettre en place des dispositifs de sécurité pour vous-même ? Êtes-vous concerné par la sécurité d’autres personnes autour de vous ? Si oui, qui, et qu’avez-vous besoin de faire pour définir leurs besoins en termes de sécurité et pour créer des dispositifs de sécurité adéquats pour eux ? Est-il nécessaire d’éduquer les autres à la sécurité ? Si oui, y a-t-il des compétences que vous auriez besoin de développer pour ce faire (par exemple, en communication, en évaluation des besoins, en formation) ?
Sécurité est une valeur fondamentale, ce qui signifie qu’elle doit opérer avec d’autres valeurs pour pouvoir s’épanouir. Le fait de l’avoir sélectionnée comme étant très importante indique peut-être un besoin particulier à combler dans ce domaine. Quels sont vos soucis concernant la sécurité ? Y a-t-il des critères de sécurité et des dispositifs de protection auxquels vous devriez accorder votre attention pour votre propre bien-être et celui d’autres personnes ?",,93,Nw008,Grounding,Trygghet,"Lager sikringstiltak for å unngå risiko, uhell eller skade.","What does safety mean to you? For example, safety concerns may be physical, psychological and social, or a combination of these. Who has created safeguards for you in your life and how? When and where have you felt most safe?
For whose safety are you concerned? You own? If so, what do you need to do to create safeguards for yourself? For the safety of others around you? If so, who, and what do you need to do to determine their needs for safety and create adequate safeguards for them? Is there a need to educate others about safety? If so, are there skills you need to develop in order to do so (for example, communication, assessment of needs, training)?
This is a foundation value, which means that it must be operating so that other values may flourish. If you have selected it as highly important, that selection may indicate a special need to attend to this area. What are your safety concerns? Are there safety standards and safeguards that you should be paying attention to for your own welfare and the welfare of others?"
1-09,1,,41,),),),,88,GB009,Grounding,Self Restraint,"Being able to control and limit one's reactions, mentally, emotionally, and physically.","Successful operation in society requires that we are able to effectively support this value. Identify and describe your ability to control and limit your reactions, mentally, emotionally, and physically in regular and high stress situations. Knowing and understanding your values is an important step in identifying your motivations. What are your triggers for losing self-restraint or self control?
Developing self restraint is helped with structure and practice, where you are able to practice certain behaviors. For example, some people use sports to practice being able to better deal with both the elation of winning, and the disappointments of losing, and well as the frustrations of having to deal with long-term rather than short-term results. Do you have opportunities and structures for practicing the self restraint you need?
Does your value for self restraint present a limitation to your current operation and future development? If so, in what ways? In what ways does it support your success? Are there role models you can find that provide you with insight and inspiration in regard to self restraint?
This is a foundation value and if you have selected it as highly important, that selection may indicate a special need to attend to this area. If needed, seek out support in strengthening these skills.",,62,Fr007,Fondamentaux,Maîtrise de soi,"Être capable de contrôler et de limiter ses réactions mentales, émotionnelles et physiques.","Être opérationnel avec succès en société requiert que vous soyons réellement capables de soutenir la valeur Maîtrise de soi. Identifiez et décrivez votre capacité à contrôler vos réactions mentales, émotionnelles et physiques, dans des situations de stress ordinaire ou élevé. Connaître et comprendre vos valeurs est un pas important vers l’identification de vos motivations. Quels sont les déclencheurs qui vous font perdre votre maîtrise ou le contrôle de vous-même ?
Cultiver la Maîtrise de soi est facilité par la discipline et la pratique afin de s’entraîner à certains comportements. Par exemple, certains utilisent le sport pour s’entraîner à mieux gérer à la fois l’euphorie de gagner et la déception due à l’échec, ainsi que la frustration d’avoir à attendre des résultats à long terme plutôt qu’à court terme. Y a-t-il des occasions et des structures où vous pouvez vous entraîner à pratiquer la maîtrise de vous-même au niveau où vous en avez besoin ?
Votre valeur Maîtrise de soi impose-t-elle une limitation de vos occupations actuelles et de vos projets futurs ? Si oui, comment ? De quelle manière renforce-t-elle votre succès ? Pourriez-vous trouver des personnes modèles qui vous procureraient des compréhensions et vous inspireraient par rapport à la Maîtrise de soi ?
Maîtrise de soi est une valeur fondatrice, et le fait de l’avoir sélectionnée comme étant d’une grande importance indique peut-être qu’un besoin particulier a besoin d’être comblé dans ce domaine. Si nécessaire, vous pouvez rechercher du soutien pour renforcer vos compétences.",,76,Nw006,Grounding,Selvbeherskelse,"Være i stand til å kontrollere og begrense egne reaksjoner, både mentalt, emosjonelt og fysisk.","Successful operation in society requires that we are able to effectively support this value. Identify and describe your ability to control and limit your reactions, mentally, emotionally, and physically in regular and high stress situations. Knowing and understanding your values is an important step in identifying your motivations. What are your triggers for losing self-restraint or self control?
Developing self restraint is helped with structure and practice, where you are able to practice certain behaviors. For example, some people use sports to practice being able to better deal with both the elation of winning, and the disappointments of losing, and well as the frustrations of having to deal with long-term rather than short-term results. Do you have opportunities and structures for practicing the self restraint you need?
Does your value for self restraint present a limitation to your current operation and future development? If so, in what ways? In what ways does it support your success? Are there role models you can find that provide you with insight and inspiration in regard to self restraint?
This is a foundation value and if you have selected it as highly important, that selection may indicate a special need to attend to this area. If needed, seek out support in strengthening these skills."
